date,MKTX
2016-05-11,128.71
2016-05-12,131.92
2016-05-13,130.59
2016-05-16,132.6
2016-05-17,131.24
2016-05-18,133.42
2016-05-19,133.15
2016-05-20,134.43
2016-05-23,134.39
2016-05-24,138.5
2016-05-25,140.0
2016-05-26,138.69
2016-05-27,140.61
2016-05-31,139.94
2016-06-01,140.65
2016-06-02,141.45
2016-06-03,141.74
2016-06-06,143.25
2016-06-07,141.74
2016-06-08,143.53
2016-06-09,142.23
2016-06-10,141.84
2016-06-13,142.07
2016-06-14,141.5
2016-06-15,141.6
2016-06-16,142.58
2016-06-17,140.48
2016-06-20,140.95
2016-06-21,138.73
2016-06-22,139.25
2016-06-23,144.13
2016-06-24,139.21
2016-06-27,135.89
2016-06-28,141.25
2016-06-29,142.03
2016-06-30,145.4
2016-07-01,143.62
2016-07-05,144.59
2016-07-06,150.04
2016-07-07,149.27
2016-07-08,151.72
2016-07-11,150.79
2016-07-12,151.13
2016-07-13,150.71
2016-07-14,151.53
2016-07-15,151.41
2016-07-18,149.96
2016-07-19,152.03
2016-07-20,152.06
2016-07-21,151.42
2016-07-22,152.74
2016-07-25,153.475
2016-07-26,153.75
2016-07-27,153.87
2016-07-28,159.76
2016-07-29,161.64
2016-08-01,161.47
2016-08-02,161.83
2016-08-03,161.73
2016-08-04,162.37
2016-08-05,162.83
2016-08-08,161.77
2016-08-09,161.39
2016-08-10,162.11
2016-08-11,161.95
2016-08-12,162.37
2016-08-15,164.49
2016-08-16,163.16
2016-08-17,164.68
2016-08-18,166.88
2016-08-19,166.72
2016-08-22,165.15
2016-08-23,164.83
2016-08-24,165.35
2016-08-25,165.91
2016-08-26,166.0
2016-08-29,167.7
2016-08-30,168.99
2016-08-31,168.58
2016-09-01,169.53
2016-09-02,172.54
2016-09-06,168.86
2016-09-07,169.05
2016-09-08,168.83
2016-09-09,171.38
2016-09-12,172.03
2016-09-13,169.56
2016-09-14,169.54
2016-09-15,173.34
2016-09-16,172.76
2016-09-19,170.82
2016-09-20,172.82
2016-09-21,173.44
2016-09-22,172.88
2016-09-23,170.71
2016-09-26,167.84
2016-09-27,170.27
2016-09-28,170.9
2016-09-29,166.14
2016-09-30,165.66
2016-10-03,164.19
2016-10-04,162.15
2016-10-05,161.27
2016-10-06,160.32
2016-10-07,159.12
2016-10-10,158.82
2016-10-11,156.9
2016-10-12,157.22
2016-10-13,154.97
2016-10-14,154.21
2016-10-17,152.33
2016-10-18,154.77
2016-10-19,153.31
2016-10-20,151.4
2016-10-21,152.23
2016-10-24,153.25
2016-10-25,152.21
2016-10-26,153.13
2016-10-27,150.64
2016-10-28,150.12
2016-10-31,150.77
2016-11-01,148.35
2016-11-02,147.69
2016-11-03,147.74
2016-11-04,150.47
2016-11-07,153.11
2016-11-08,155.24
2016-11-09,161.27
2016-11-10,159.91
2016-11-11,162.09
2016-11-14,165.63
2016-11-15,163.615
2016-11-16,165.83
2016-11-17,171.095
2016-11-18,169.46
2016-11-21,170.1
2016-11-22,169.48
2016-11-23,168.57
2016-11-25,169.2
2016-11-28,169.23
2016-11-29,168.96
2016-11-30,165.7
2016-12-01,162.9
2016-12-02,161.955
2016-12-05,164.06
2016-12-06,166.38
2016-12-07,163.45
2016-12-08,165.07
2016-12-09,166.98
