,Custom Portfoilo,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,Algo 1,Algo 2,SP500 TSX 60
2015-11-23,-5.090565451850395,-0.0010893980202152,-0.0037808927894639,0.0031505468248917,0.012117307767075,0.0127565077406507,0.0022135018957519,-0.003804670268113597
2015-11-24,-0.4611875047682744,0.0033818455825347,0.0063590863517011,0.0033759356929998,-0.0063645804537673,0.0410672628017226,0.0075976033710482,0.0019017543964527928
2015-11-25,-1.1079925094639975,0.0021903384835291,0.0046820315078917,0.0016277045898183,7.692369106360175e-06,-0.0004180639254807,0.004739927653848,-0.00032891228483655777
2015-11-27,4.582903713926401,-0.0003886020090454,3.706233194344932e-06,0.0011797329922946,0.0042185164695813,0.0013867327403234,0.0038097859300278,-0.0042420256249632304
2015-11-30,-1.5707931387284693,0.001682558159598,-0.0054437449078769,-0.0103225971570946,-0.0036129380355979,-0.004004770617318,-0.0022074195249223,0.007599354888900844
2015-12-01,-0.31025725081890154,0.0042714633565099,0.0100807393468072,0.0090554666170816,0.010648539511324,0.0308320157274607,0.0035987502809064,0.012340912988508368
2015-12-02,-1.4145121408274042,-0.007470586500922,-0.0071025807957972,-0.0161627382008958,0.0112002151446271,-0.0018175960516524,-0.0069029354769938,-0.012631214588378126
2015-12-03,-1.0566549733937798,-0.0120233435896199,-0.0074067793461347,-0.0188694718228886,-0.0157160524164174,0.00711368629198,-0.0137028336015888,-0.010335105490120955
2015-12-04,-413.3737813700969,0.0080034276906166,0.0072543415701431,0.012094497271673,0.0229168509394013,-0.012095208078075,0.0086067816878858,0.0025591628160397395
2015-12-07,-0.8799864813551039,-0.0112342839235121,-0.0027627589056928,-0.0096079412532655,-0.0117131816143809,-0.0138823268538082,-0.0160384651019067,-0.023650380985674624
2015-12-08,-2.180301462112044,-0.0033509910127664,-0.0035401446133453,-0.0008119593659281,-0.0008351820838854,-0.0041972817375637,-0.0044791351583206,-0.009228058634514147
